,Gene.Symbol,Protein.Id,Compartment,Swarup.Sharan,Ordureau.Alban,Park.Hankum,Itzhak.Daniel,Organism
10803,VPS28,Q9UK41,Large Protein Complex,0,0,0,1,human
7319,VPS29,Q9UBQ0,Endosome,1,0,0,0,human
7320,VPS33A,Q96AX1,Endosome,1,0,0,0,human
7321,VPS33B,Q9H267,Endosome,1,0,0,0,human
7322,VPS35,Q96QK1,Endosome,1,0,0,0,human
7323,VPS35L,Q7Z3J2,Endosome,1,0,0,0,human
10491,VPS36,Q86VN1,Large Protein Complex,0,0,0,1,human
7324,VPS37B,Q9H9H4,Endosome,1,0,0,0,human
7325,VPS37C,A5D8V6,Endosome,1,0,0,0,human
7326,VPS37D,Q86XT2,Endosome,1,0,0,0,human
7327,VPS39,Q96JC1,Endosome,1,0,0,0,human
7328,VPS41,P49754,Endosome,1,0,0,0,human
7329,VPS45,Q9NRW7,Golgi,1,0,0,0,human
7330,VPS4A,Q9UN37,Endosome,1,0,0,0,human
7331,VPS4B,O75351,Endosome,1,0,0,0,human
7332,VPS50,Q96JG6,Endosome,1,0,0,0,human
7333,VPS51,Q9UID3,Golgi,1,0,0,0,human
7334,VPS52,Q8N1B4,Golgi,1,0,0,0,human
7335,VPS53,Q5VIR6,Golgi,1,0,0,0,human
10492,VPS53,Q5VIR6-4,Large Protein Complex,0,0,0,1,human
7336,VPS54,Q9P1Q0,Golgi,1,0,0,0,human
7337,VPS72,Q15906,Nucleus,1,0,0,0,human
7338,VPS8,Q8N3P4,Endosome,1,0,0,0,human
9704,VRK1,Q99986,Plasma membrane,0,0,0,1,human
8331,VRK2,Q86Y07,ER-Membrane,0,1,0,0,human
